Task ID,Speed (km/h),Average Power (W),Average HR (bpm),Reward,Pain/Discomfort,Physical Difficulty,Mental Difficulty,Timestamp
,,,,,,,,
3,11.4,181,148,8,4,6,4,2025-04-05T15:42:07.234Z
2,17.5,178,157,7,3,5,3,2025-04-05T15:45:40.433Z
1,25.5,170,151,6,4,4,4,2025-04-05T15:47:52.101Z
3,11.4,182,163,8,6,6,6,2025-04-05T16:02:49.789Z
2,17.8,185,164,7,6,5,5,2025-04-05T16:05:39.478Z
3,12,191,172,8,7,7,6,2025-04-05T16:09:12.311Z
1,24.4,152,164,7,6,5,4,2025-04-05T16:11:31.792Z
2,16.3,164,164,7,6,6,5,2025-04-05T16:14:10.766Z
1,24.9,163,160,7,6,5,4,2025-04-05T16:16:09.486Z
3,11.2,179,171,7,7,7,6,2025-04-05T16:19:47.476Z
2,15.4,151,164,7,6,6,4,2025-04-05T16:22:47.682Z
3,10.7,170,171,8,7,7,6,2025-04-05T16:26:28.569Z
1,22.1,127,158,6,4,3,3,2025-04-05T16:28:59.946Z
2,14.9,146,160,7,4,4,3,2025-04-05T16:31:59.662Z
1,23.9,150,158,6,4,3,3,2025-04-05T16:33:58.123Z
2,17.5,178,157,7,3,5,3,2025-04-05T16:34:47.309Z
1,25.5,170,151,6,4,4,4,2025-04-05T16:35:16.394Z
2,17,175,161,7,5,5,4,2025-04-05T16:35:42.907Z
1,25.1,167,154,7,4,3,3,2025-04-05T16:36:04.441Z
3,11.9,190,164,8,6,5,5,2025-04-05T16:36:27.737Z
1,23.8,157,157,6,5,5,5,2025-04-05T16:36:50.282Z
3,10.7,169,170,8,6,7,6,2025-04-05T16:37:40.841Z1
2,13.8,133,160,6,4,4,4,2025-04-05T16:52:55.138Z
3,10.3,163,167,7,7,6,5,2025-04-05T16:44:31.230Z
2,14.1,134,162,7,5,6,5,2025-04-05T16:47:33.142Z
1,22,123,154,6,4,3,3,2025-04-05T16:49:32.565Z
2,13.8,133,160,7,6,4,4,2025-04-05T16:52:00.291Z
3,12.6,203,170,8,5,6,4,2025-04-05T16:56:23.628Z
2,16.5,171,166,7,4,4,4,2025-04-05T16:59:08.439Z
1,30.8,263,171,8,4,4,4,2025-04-05T17:00:56.152Z
