Task ID,Reward,Pain/Discomfort,Physical Difficulty,Timestamp

1,3,3,,2025-03-19T14:36:24.737Z
2,7,6,,2025-03-19T14:39:31.638Z
3,8,8,,2025-03-19T14:44:53.913Z
2,7,7,,2025-03-19T14:48:15.507Z
1,5,5,,2025-03-19T14:51:28.380Z
3,9,9,,2025-03-19T14:56:43.071Z
1,8,5,,2025-03-19T15:01:24.749Z
3,7,7,,2025-03-19T15:07:07.729Z
2,7,6,,2025-03-19T15:11:20.556Z
1,6,7,,2025-03-19T15:15:45.198Z
3,8,8,,2025-03-19T15:21:00.792Z
2,7,6,,2025-03-19T15:28:03.975Z
1,4,6,,2025-03-19T15:31:50.912Z
3,7,9,,2025-03-19T15:39:03.291Z
2,8,7,,2025-03-19T15:44:09.873Z
1,5,7,,2025-03-19T15:48:23.157Z
3,10,7,,2025-03-19T16:00:27.727Z
2,7,6,,2025-03-19T16:05:42.138Z
1,8,8,,2025-03-19T16:09:52.530Z
3,9,7,,2025-03-19T16:20:07.045Z
1,5,6,,2025-03-19T16:24:02.317Z
2,8,8,,2025-03-19T16:28:14.448Z
3,5,10,,2025-03-19T16:34:14.755Z
1,4,7,,2025-03-19T16:39:13.351Z
2,7,7,,2025-03-19T16:43:03.819Z
1,9,7,,2025-03-19T16:48:42.933Z
3,7,9,,2025-03-19T16:56:42.012Z
2,8,10,,2025-03-19T16:59:58.680Z
1,8,9,,2025-03-19T17:03:15.092Z
