Task ID,Reward,Pain/Discomfort,Physical Difficulty,Speed (km/h),Average Power (W),Average HR (bpm),Timestamp
,,,,,,,
1,7,4,4,27.4,204,,2025-03-18T13:54:09.232Z
3,7,5,6,11.5,179,,2025-03-18T13:58:08.786Z
2,5,4,4,14.4,137,,2025-03-18T14:02:21.038Z
3,5,6,7,10.1,159,,2025-03-18T14:06:23.185Z
1,6,5,4,22,123,,2025-03-18T14:08:38.788Z
2,5,5,5,12.2,111,,2025-03-18T14:11:48.742Z
1,7,5,5,25.6,162,,2025-03-18T14:14:29.216Z
3,4,6,6,7.6,117,,2025-03-18T14:20:38.346Z
2,4,5,5,12.2,117,,2025-03-18T14:27:27.005Z
3,4,5,5,9.4,145,,2025-03-18T14:32:10.067Z
1,8,6,7,26.3,222,,2025-03-18T14:34:55.142Z
2,5,6,6,15.1,180,,2025-03-18T14:37:37.152Z
3,5,6,6,9.4,146,,2025-03-18T14:42:44.685Z
1,9,8,8,36.4,407,,2025-03-18T14:45:28.670Z
2,5,6,6,11.2,104,,2025-03-18T14:49:25.215Z
3,4,5,5,7.2,108,,2025-03-18T14:56:43.639Z
1,5,5,5,14.4,62,,2025-03-18T14:59:44.823Z
2,8,8,8,21.2,236,,2025-03-18T15:02:20.521Z
3,6,6,7,9,141,,2025-03-18T15:07:15.822Z
1,5,5,5,15.8,73,,2025-03-18T15:10:41.615Z
3,5,6,6,7.6,121,,2025-03-18T15:15:45.460Z
2,5,6,5,11.5,103,,2025-03-18T15:21:41.782Z
1,5,6,6,23,149,,2025-03-18T15:23:34.160Z
3,5,7,6,7.6,121,,2025-03-18T15:28:31.365Z
2,5,5,5,11.5,106,,2025-03-18T15:33:46.427Z
1,5,5,5,25.9,161,,2025-03-18T15:36:04.419Z
3,9,9,9,16.6,276,,2025-03-18T15:39:38.166Z
2,5,5,5,11.9,111,,2025-03-18T15:42:50.838Z
1,8,5,3,23,138,,2025-03-18T15:45:21.012Z
